time;face_valid;mean;min;max
56498679;1;35.8852;35.8852;35.8852
56499713;1;59.482;34.8432;71.8133
56500803;1;67.1083;59.312;71.5848
56501803;1;64.511;57.7034;70.936
56502867;1;53.5173;35.5731;59.7848
56503870;1;51.2631;47.4871;59.4059
56504936;1;47.6647;47.3934;47.9329
56506023;1;47.5783;47.1698;47.866
56507054;1;55.6015;35.9066;59.9042
56508089;1;59.5366;59.0319;59.9401
56509149;1;58.7449;47.4777;71.7417
56510182;1;47.6025;47.4121;47.8755
56511184;1;47.5259;47.356;47.8088
56512241;1;61.1373;35.3704;95.6938
56513260;1;35.777;35.503;35.8995
56514303;1;35.8116;35.686;35.878
56515353;1;61.1699;35.468;83.7154
56516368;1;35.6794;35.538;35.9784
56517432;1;35.721;35.3426;35.8995
56518496;1;35.6857;35.552;35.9856
56519496;1;35.6028;35.454;35.8566
56520536;1;38.932;35.545;59.6303
56521612;1;59.5546;59.0667;59.7967
56522616;1;78.524;58.9971;95.2192
56523684;1;85.5137;71.1181;95.2192
56524688;1;70.5591;59.4295;71.9424
56525777;1;61.0266;47.2813;107.122
56526777;1;87.2495;47.5624;107.548
56527781;1;87.8934;47.2813;95.8849
56528836;1;88.0387;35.7427;95.9233
56529866;1;101.231;94.9743;107.356
56530867;1;75.7945;35.8423;107.784
56531901;1;40.4804;35.5942;71.6561
56532925;1;56.0296;35.503;71.6846
56533991;1;43.374;34.6021;71.6989
56535057;1;64.6153;35.7924;71.9712
56536089;1;47.7596;47.4684;47.8946
56537193;1;47.4933;47.2162;47.7992
56538250;1;42.8542;35.6013;47.8851
56543800;1;53.5432;47.3373;59.7491
56544801;1;59.727;59.4295;59.8086
56545801;1;52.5242;47.4871;59.8086
56546829;1;48.2941;47.4121;59.4413
56547859;1;47.5767;47.4215;47.7992
56548926;1;47.5214;47.4402;47.7992
56549952;1;48.3106;47.0588;59.312
56550988;1;50.8597;47.4684;71.3295
56552013;1;56.2288;35.6224;71.6418
56553053;1;45.1582;35.5661;71.6989
56554110;1;55.6407;35.5731;71.2871
56555111;1;66.3718;47.7897;71.9137
56556171;1;58.0112;47.4684;83.9161
56557204;1;75.2857;59.3354;83.5322
56558235;1;58.6071;47.4871;83.0368
56559235;1;37.1911;35.5591;59.3003
56560296;1;57.9791;35.6154;59.7729
56561361;1;59.3519;59.0435;59.7253
56562389;1;59.4613;47.4215;71.9281
56563457;1;49.2203;47.4777;71.1322
