time;face_valid;bpm
56498679;1;35.8852
56499064;1;70.4501
56499158;1;35.503
56499320;1;34.8432
56499381;1;71.8133
56499450;1;71.7703
56499507;1;71.6989
56499577;1;59.7253
56499642;1;59.7491
56499713;1;59.7848
56499839;1;71.273
56499906;1;71.3861
56499973;1;71.2307
56500046;1;71.2448
56500102;1;71.2307
56500176;1;59.312
56500237;1;59.3942
56500305;1;59.3354
56500346;1;59.6421
56500412;1;59.8086
56500539;1;71.1462
56500606;1;71.5848
56500673;1;71.4286
56500803;1;71.4995
56500959;1;70.936
56501314;1;69.3775
56501405;1;70.8243
56501477;1;59.654
56501721;1;57.7034
56501803;1;58.5709
56501877;1;58.8582
56501941;1;59.7015
56502012;1;59.6303
56502069;1;59.761
56502173;1;59.2651
56502233;1;59.3824
56502304;1;59.1366
56502376;1;59.1599
56502436;1;35.5872
56502506;1;35.5731
56502568;1;59.4413
56502633;1;59.5356
56502677;1;59.6896
56502732;1;35.9353
56502800;1;35.8352
56502867;1;59.7848
56503001;1;59.4059
56503063;1;59.3707
56503134;1;59.3354
56503233;1;58.9855
56503312;1;47.6569
56503376;1;47.7232
56503437;1;47.7707
56503495;1;47.8469
56503542;1;47.9904
56503668;1;47.5436
56503733;1;47.4871
56503795;1;47.6758
56503870;1;47.6285
56503930;1;47.9329
56504094;1;47.7137
56504173;1;47.8564
56504363;1;47.5907
56504426;1;47.5719
56504494;1;47.5813
56504571;1;47.3934
56504634;1;47.459
56504695;1;47.4965
56504742;1;47.7232
56504799;1;47.8469
56504864;1;47.7612
56504936;1;47.7137
56504994;1;47.7992
56505060;1;47.866
56505131;1;47.7232
56505196;1;47.8088
56505296;1;47.4402
56505362;1;47.459
56505434;1;47.1698
56505494;1;47.7517
56505598;1;47.4402
56505690;1;47.2069
56505783;1;47.5907
56505838;1;47.6663
56505899;1;47.7802
56506023;1;47.3934
56506091;1;47.6002
56506360;1;59.453
56506423;1;59.7848
56506490;1;35.9066
56506729;1;59.9042
56506854;1;59.3942
56506925;1;59.4295
56506988;1;59.4413
56507054;1;59.5002
56507122;1;59.3707
56507190;1;59.7967
56507264;1;59.6303
56507354;1;59.4059
56507420;1;59.4766
56507504;1;59.1949
56507573;1;59.9401
56507695;1;59.2651
56507759;1;59.0319
56507831;1;59.6303
56507895;1;59.6659
56507955;1;59.6896
56508024;1;59.7253
56508089;1;59.6896
56508160;1;71.6275
56508286;1;59.3707
56508349;1;59.5593
56508418;1;59.5002
56508491;1;59.3589
56508552;1;59.3237
56508618;1;59.1017
56508686;1;71.7417
56508753;1;71.7131
56508821;1;71.6275
56508884;1;47.866
56508951;1;47.7992
56509016;1;47.6096
56509081;1;47.4965
56509149;1;47.4777
56509214;1;47.6096
56509316;1;47.6474
56509383;1;47.8088
56509452;1;47.7517
56509515;1;47.7992
56509584;1;47.8755
56509676;1;47.6002
56509743;1;47.5436
56509799;1;47.459
56509858;1;47.4402
56509914;1;47.5248
56509983;1;47.553
56510056;1;47.4121
56510113;1;47.4965
56510182;1;47.5153
56510253;1;47.459
56510322;1;47.7517
56510423;1;47.4215
56510495;1;47.4215
56510562;1;47.356
56510746;1;47.4684
56510824;1;47.6096
56510891;1;47.4965
56510947;1;47.5436
56511021;1;47.4027
56511082;1;47.4402
